mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,60,120,0.143756
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,120,120,0.0602495
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,30,120,0.492462
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,30,120,0.190204
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,60,120,0.066101
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,120,120,0.0122052
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,90,120,0.276824
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,30,120,0.304142
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,60,120,0.313449
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,120,120,0.145279
2.03774387,1,1.0,6,0.499982168,74,0.017165807,51,0.0331218221,50,0.0280621958,184.80851,90,120,0.386212
3.82937799,1,1.0,6,0.499982168,83,0.030203212,74,0.118253337,-1,-1,379.803288,90,120,0.176921
2.84743449,1,1.0,6,0.499982168,51,0.0979253872,50,0.106340953,5,0.324354168,234.908257,90,120,0.328151
2.11549702,1,1.0,6,0.499975397,74,0.0457749545,5,0.735194255,-1,-1,136.32863,120,120,0.4032
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,120,120,0.377295
1.91747619,1,1.0,6,0.499982168,83,0.0310421901,51,0.0172809507,5,0.178394792,167.336896,120,120,0.363894
1.82745295,1,1.0,6,0.499982168,51,0.0604833274,5,0.162177084,56,0.0102136253,147.457912,30,120,0.616851
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226,90,120,0.556277
3.52150706,1,1.0,6,0.499982168,74,0.051497421,29,0.292464395,-1,-1,254.131161,30,120,0.525485
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,60,120,0.548919
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373,30,120,0.584368
2.01102616,1,1.0,6,0.499982168,83,0.0142626279,50,0.06350918,-1,-1,187.314416,30,120,0.590883
3.0465164,1,1.0,6,0.499982168,29,0.375237336,5,0.194612501,56,0.015320438,199.479314,90,120,0.458291
2.38031293,1,0.734059438,6,0.367016629,83,0.0468053448,5,1.0,-1,-1,154.479068,30,120,0.607165
3.11254026,1,1.0,6,0.499982168,51,0.132487289,50,0.0472626456,29,0.0993275302,263.930915,30,120,0.540303
3.3202852,1,1.0,6,0.499982168,83,0.0973214608,51,0.0288015845,50,0.0354469842,366.06801,30,120,0.455899
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226,60,120,0.594658
3.40819663,1,1.0,6,0.499982168,83,0.115778979,29,0.0607001574,-1,-1,368.133784,60,120,0.3156
3.03350146,1,1.0,6,0.499982168,29,0.386273729,5,0.324354168,-1,-1,185.24456,120,120,0.43677
2.57322269,1,1.0,6,0.499982168,51,0.149768239,5,0.551402085,56,0.0280874696,206.202475,120,120,0.304135
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792,30,120,0.597089
3.3518875,1,1.0,6,0.499982168,83,0.0318811682,29,0.336609964,-1,-1,245.111518,120,120,0.300963
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535,30,120,0.620305
2.00759418,1,1.0,6,0.499982168,74,0.0429145175,5,0.145959376,56,0.00766021898,171.583206,30,120,0.557708
2.51931142,1,1.0,6,0.499975397,83,0.0145421186,50,0.031508065,29,0.150828945,202.542103,90,120,0.389334
1.91849862,1,1.0,6,0.499982168,51,0.0720039612,50,0.00295391535,56,0.0102136253,174.565768,90,120,0.451539
1.81034507,1,1.0,6,0.499982168,83,0.0310421901,5,0.373007293,-1,-1,136.660026,30,120,0.632788
1.84031759,1,1.0,6,0.499975397,51,0.0307213338,5,0.886557778,56,0.0221292649,108.853707,30,120,0.62396
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,200,120,0.132308
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,90,120,0.286357
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,30,120,0.588846
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,120,120,0.448292
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,60,120,0.537434
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,90,120,0.273994
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,90,120,0.43585
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,60,120,0.548013
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,120,120,0.372595
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,30,120,0.607864
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243,90,120,0.374397
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,130,120,0.136397
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,120,120,0.145626
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,60,120,0.303147
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,90,120,0.442163
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,30,120,0.545788
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,120,120,0.267688
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,60,120,0.476767
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,90,120,0.46412
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,30,120,0.62066
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,120,120,0.299853
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,60,120,0.44848
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,90,120,0.489314
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,120,120,0.224187
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,60,120,0.368382
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,150,120,0.113921
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,140,120,0.123413
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,30,120,0.584182
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,60,120,0.583809
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,120,120,0.51456
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,30,120,0.574293
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,30,120,0.483272
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,120,120,0.425003
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,60,120,0.562122
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,120,120,0.620701
