mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio,sigma
2.23667092,1,1.0,6,0.499975397,50,0.0905856868,56,0.0408540275,-1,-1,220.183635,120,120,0.282303,0.016
2.36707597,1,1.0,6,0.499982168,74,0.0419608616,5,0.940627087,56,0.0740487835,177.837787,30,120,0.581667,0.024
2.94031713,1,1.0,6,0.499982168,83,0.0922875921,51,0.0316817429,5,0.454095835,276.266256,120,120,0.211509,0.0071
2.02062209,1,1.0,6,0.499975397,51,0.0787234179,5,0.627077452,-1,-1,133.397964,90,120,0.512361,0.021
2.25907132,1,1.0,6,0.499975397,50,0.0807394165,29,0.0588600761,5,0.281103686,167.142616,90,120,0.442594,0.02
2.50694468,1,1.0,6,0.499975397,74,0.0279735833,51,0.0921640015,-1,-1,236.37677,60,120,0.399803,0.0098
2.47026315,1,1.0,6,0.499975397,83,0.0335587352,51,0.0556824176,50,0.0216617947,249.751737,120,120,0.236055,0.015
3.39985368,1,1.0,6,0.499982168,83,0.068796205,74,0.0324243021,51,0.0633634858,359.48856,30,120,0.457913,0.021
1.73747615,1,1.0,6,0.499982168,29,0.0689774516,5,0.356789585,56,0.0165971411,112.756727,120,120,0.517252,0.022
1.70182611,1,1.0,6,0.499982168,51,0.0201611091,5,0.194612501,56,0.0434079076,141.826844,60,120,0.573018,0.016
2.11331615,1,1.0,6,0.499975397,51,0.0595225843,56,0.0663877946,-1,-1,219.199049,90,120,0.407364,0.02
2.56522962,1,1.0,6,0.499975397,83,0.0503381028,29,0.0919688689,-1,-1,243.307887,60,120,0.427951,0.01
2.25965022,1,1.0,6,0.499975397,51,0.021120917,50,0.0768009084,56,0.0340450229,220.198382,60,120,0.46256,0.023
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,90,120,0.461596,0.021
2.5544395,1,0.994532141,6,0.497248336,29,0.268913147,5,1.0,-1,-1,138.608887,90,120,0.530812,0.022
3.08787636,1,1.0,6,0.499982168,51,0.0892849119,50,0.144741852,-1,-1,282.491516,60,120,0.374835,0.02
2.90303715,1,1.0,6,0.499982168,50,0.177234921,29,0.0551819612,5,0.324354168,227.08374,120,120,0.259182,0.017
2.01026236,1,1.0,6,0.499975397,50,0.0236310487,56,0.0987305663,-1,-1,218.851188,90,120,0.421941,0.021
2.13766078,1,1.0,6,0.499982168,74,0.0419608616,51,0.0230412676,-1,-1,199.959926,120,120,0.297845,0.017
1.75520668,1,1.0,6,0.499982168,83,0.015101606,50,0.0221543651,5,0.437878127,119.379674,90,120,0.515528,0.021
1.93437412,1,1.0,6,0.499975397,74,0.0216159507,5,0.735194255,56,0.0323427717,128.314801,30,120,0.594474,0.023
2.32579907,1,1.0,6,0.499975397,83,0.0626429724,5,0.302727046,-1,-1,216.228081,30,120,0.568152,0.022
2.1054074,1,1.0,6,0.499975397,51,0.0518422508,29,0.0698963403,5,0.51896065,137.181596,120,120,0.451363,0.022
2.70446709,1,1.0,6,0.499975397,83,0.0391518578,74,0.044503428,-1,-1,286.586102,120,120,0.217795,0.01
2.5343105,1,1.0,6,0.499982168,51,0.115206338,29,0.0717365496,5,0.875756253,165.710608,120,120,0.368058,0.018
3.18159536,1,1.0,6,0.499982168,83,0.0335591244,51,0.0288015845,50,0.147695767,308.536958,90,120,0.235873,0.016
1.79022736,1,1.0,6,0.499982168,74,0.0286096783,5,0.486531252,-1,-1,115.741012,90,120,0.508822,0.021
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,90,120,0.0255867,0.0027
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,30,120,0.0639924,0.0034
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,120,120,0.226559,0.0098
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,60,120,0.337718,0.0082
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,30,120,0.629319,0.0095
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,90,120,0.208243,0.0097
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,120,120,0.626014,0.013
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,30,120,0.456027,0.0094
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,90,120,0.0861169,0.0063
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,120,120,0.000196966,0.00026
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,60,120,0.0108586,0.0014
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,60,120,0.62771,0.0095
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,120,120,0.00702749,0.00098
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,60,120,0.0466317,0.0028
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,90,120,0.00165213,0.00074
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,90,120,0.624382,0.013
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,120,120,0.0708139,0.006
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,60,120,0.165128,0.0058
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,30,120,0.330534,0.0078
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,30,120,0.156417,0.0056
11.35,82,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,90,120,0.0175539,0.0016
6.691,51,1.0,-1,-1,-1,-1,-1,-1,-1,-1,487.0,90,120,0.0968754,0.0066
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,60,120,0.143756,0.0054
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,120,120,0.0602495,0.0054
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,30,120,0.492462,0.0097
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,30,120,0.190204,0.0058
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,60,120,0.066101,0.0032
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,120,120,0.0122052,0.0018
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,90,120,0.276824,0.011
7.31,50,1.0,-1,-1,-1,-1,-1,-1,-1,-1,488.0,30,120,0.304142,0.0073
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,60,120,0.313449,0.008
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,120,120,0.145279,0.0083
2.03774387,1,1.0,6,0.499982168,74,0.017165807,51,0.0331218221,50,0.0280621958,184.80851,90,120,0.386212,0.019
3.82937799,1,1.0,6,0.499982168,83,0.030203212,74,0.118253337,-1,-1,379.803288,90,120,0.176921,0.013
2.84743449,1,1.0,6,0.499982168,51,0.0979253872,50,0.106340953,5,0.324354168,234.908257,90,120,0.328151,0.017
2.11549702,1,1.0,6,0.499975397,74,0.0457749545,5,0.735194255,-1,-1,136.32863,120,120,0.4032,0.019
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,120,120,0.377295,0.018
1.91747619,1,1.0,6,0.499982168,83,0.0310421901,51,0.0172809507,5,0.178394792,167.336896,120,120,0.363894,0.018
1.82745295,1,1.0,6,0.499982168,51,0.0604833274,5,0.162177084,56,0.0102136253,147.457912,30,120,0.616851,0.025
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226,90,120,0.556277,0.022
3.52150706,1,1.0,6,0.499982168,74,0.051497421,29,0.292464395,-1,-1,254.131161,30,120,0.525485,0.011
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,60,120,0.548919,0.016
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373,30,120,0.584368,0.022
2.01102616,1,1.0,6,0.499982168,83,0.0142626279,50,0.06350918,-1,-1,187.314416,30,120,0.590883,0.011
3.0465164,1,1.0,6,0.499982168,29,0.375237336,5,0.194612501,56,0.015320438,199.479314,90,120,0.458291,0.024
2.38031293,1,0.734059438,6,0.367016629,83,0.0468053448,5,1.0,-1,-1,154.479068,30,120,0.607165,0.023
3.11254026,1,1.0,6,0.499982168,51,0.132487289,50,0.0472626456,29,0.0993275302,263.930915,30,120,0.540303,0.025
3.3202852,1,1.0,6,0.499982168,83,0.0973214608,51,0.0288015845,50,0.0354469842,366.06801,30,120,0.455899,0.01
2.05961469,1,1.0,6,0.499975397,29,0.143471435,5,0.670324173,-1,-1,115.543226,60,120,0.594658,0.017
3.40819663,1,1.0,6,0.499982168,83,0.115778979,29,0.0607001574,-1,-1,368.133784,60,120,0.3156,0.018
3.03350146,1,1.0,6,0.499982168,29,0.386273729,5,0.324354168,-1,-1,185.24456,120,120,0.43677,0.021
2.57322269,1,1.0,6,0.499982168,51,0.149768239,5,0.551402085,56,0.0280874696,206.202475,120,120,0.304135,0.017
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792,30,120,0.597089,0.023
3.3518875,1,1.0,6,0.499982168,83,0.0318811682,29,0.336609964,-1,-1,245.111518,120,120,0.300963,0.018
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535,30,120,0.620305,0.026
2.00759418,1,1.0,6,0.499982168,74,0.0429145175,5,0.145959376,56,0.00766021898,171.583206,30,120,0.557708,0.011
2.51931142,1,1.0,6,0.499975397,83,0.0145421186,50,0.031508065,29,0.150828945,202.542103,90,120,0.389334,0.02
1.91849862,1,1.0,6,0.499982168,51,0.0720039612,50,0.00295391535,56,0.0102136253,174.565768,90,120,0.451539,0.02
1.81034507,1,1.0,6,0.499982168,83,0.0310421901,5,0.373007293,-1,-1,136.660026,30,120,0.632788,0.023
1.84031759,1,1.0,6,0.499975397,51,0.0307213338,5,0.886557778,56,0.0221292649,108.853707,30,120,0.62396,0.025
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,200,120,0.132308,0.0036
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,90,120,0.286357,0.023
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,30,120,0.588846,0.033
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,120,120,0.448292,0.03
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,60,120,0.537434,0.032
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,90,120,0.273994,0.024
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,90,120,0.43585,0.03
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,60,120,0.548013,0.032
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,120,120,0.372595,0.026
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,30,120,0.607864,0.036
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243,90,120,0.374397,0.027
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,130,120,0.136397,0.0023
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,120,120,0.145626,0.016
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,60,120,0.303147,0.024
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,90,120,0.442163,0.03
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,30,120,0.545788,0.032
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,120,120,0.267688,0.025
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,60,120,0.476767,0.032
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,90,120,0.46412,0.029
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,30,120,0.62066,0.036
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,120,120,0.299853,0.024
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,60,120,0.44848,0.028
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,90,120,0.489314,0.031
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,120,120,0.224187,0.023
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,60,120,0.368382,0.027
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,150,120,0.113921,0.0021
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,140,120,0.123413,0.0022
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,30,120,0.584182,0.035
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,60,120,0.583809,0.035
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,120,120,0.51456,0.032
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,30,120,0.574293,0.033
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,30,120,0.483272,0.03
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,120,120,0.425003,0.029
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,60,120,0.562122,0.033
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,120,120,0.620701,0.033
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,30,120,0.573039,0.034
3.12533753,1,1.0,6,0.499982168,50,0.236313228,-1,-1,-1,-1,282.903136,90,120,0.270038,0.023
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,30,120,0.625693,0.034
2.05,1,1.0,6,0.499982168,29,0.165545884,-1,-1,-1,-1,146.018032,90,120,0.522637,0.032
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,120,120,0.134109,0.017
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,60,120,0.268895,0.023
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,30,120,0.631566,0.034
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,30,120,0.531858,0.032
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,60,120,0.623178,0.033
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,200,120,0.0696419,0.0016
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,120,120,0.311679,0.024
3.42083947,1,1.0,6,0.499982168,83,0.134236498,-1,-1,-1,-1,405.617461,90,120,0.214057,0.021
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,120,120,0.611747,0.032
1.69,1,1.0,6,0.499982168,56,0.0766021898,-1,-1,-1,-1,173.000158,30,120,0.605311,0.034
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,60,120,0.501337,0.032
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,30,120,0.437095,0.03
3.33097484,1,1.0,6,0.499982168,29,0.44145569,-1,-1,-1,-1,212.795086,120,120,0.411854,0.03
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114,90,120,0.271667,0.023
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,60,120,0.626388,0.033
2.28077975,1,1.0,6,0.499982168,56,0.204272506,-1,-1,-1,-1,280.438218,90,120,0.349181,0.028
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,60,120,0.430467,0.029
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,120,120,0.371332,0.025
1.99,1,1.0,6,0.499113932,50,0.0884635733,-1,-1,-1,-1,175.401882,60,120,0.535675,0.031
2.38,1,1.0,6,0.499975397,51,0.134405835,-1,-1,-1,-1,220.220799,90,120,0.372505,0.027
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,30,120,0.630639,0.032
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942,90,120,0.61588,0.033
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,10,120,0.664739,0.0049
1.96,1,1.0,6,0.499982168,51,0.0864047534,-1,-1,-1,-1,174.777367,90,120,0.440085,0.028
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,150,120,0.187287,0.0043
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942,120,120,0.615618,0.033
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243,60,120,0.442041,0.028
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243,120,120,0.284122,0.023
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114,120,120,0.213822,0.02
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,30,120,0.549677,0.032
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,140,120,0.212742,0.0028
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,30,120,0.617501,0.036
1.5,1,1.0,5,0.973062504,6,0.499982168,-1,-1,-1,-1,66.4932553,90,120,0.624409,0.033
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,20,120,0.584437,0.0046
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114,60,120,0.363123,0.027
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942,60,120,0.625913,0.033
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,30,120,0.534159,0.032
2.21,1,1.0,6,0.499982168,74,0.0572193567,-1,-1,-1,-1,210.206159,90,120,0.359748,0.027
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,15,120,0.625465,0.0048
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,130,120,0.213276,0.0045
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,60,120,0.383378,0.026
2.58,1,1.0,6,0.499975397,83,0.0783037155,-1,-1,-1,-1,296.651427,120,120,0.222832,0.021
2.54,1,1.0,6,0.499975397,29,0.257512833,-1,-1,-1,-1,175.502459,90,120,0.490016,0.032
2.84,1,1.0,6,0.499975397,74,0.089006856,-1,-1,-1,-1,276.941114,30,120,0.490998,0.031
3.97,1,1.0,6,0.499982168,74,0.152584951,-1,-1,-1,-1,372.690957,90,120,0.183141,0.02
2.43,1,1.0,6,0.499975397,50,0.137847784,-1,-1,-1,-1,221.113243,30,120,0.588915,0.033
1.67,1,0.660661155,5,1.0,6,0.330314323,-1,-1,-1,-1,68.6020942,30,120,0.628279,0.033
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,60,120,0.374509,0.028
3.03046108,1,1.0,6,0.499982168,51,0.230412676,-1,-1,-1,-1,281.83945,120,120,0.201724,0.021
1.86661342,1,0.385381205,5,1.0,6,0.19268373,-1,-1,-1,-1,70.8765506,90,120,0.608293,0.033
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,60,120,0.489513,0.031
1.94,1,1.0,6,0.499975397,56,0.11915758,-1,-1,-1,-1,218.376515,120,120,0.336917,0.027
2.0307799,1,1.0,6,0.499982168,83,0.0260083214,50,0.0428317725,-1,-1,197.822719,90,120,0.380209,0.018
1.89610965,1,1.0,6,0.499982168,51,0.0619234066,50,0.0147695767,5,0.113523959,155.413535,90,120,0.496102,0.021
2.58078176,1,1.0,6,0.499975397,83,0.0525753519,74,0.0139867917,51,0.0230410004,278.470233,30,120,0.523362,0.024
1.80650271,1,1.0,6,0.499982168,51,0.0360019806,29,0.044145569,5,0.30813646,121.678201,30,120,0.632703,0.023
2.00416754,1,1.0,6,0.499982168,74,0.0114438713,51,0.0691238027,-1,-1,181.239609,60,120,0.491917,0.02
2.31070765,1,1.0,6,0.499975397,51,0.107524668,29,0.029430038,5,0.129740163,192.921775,90,120,0.416607,0.019
2.22383672,1,1.0,6,0.499975397,51,0.0883238348,50,0.0236310487,5,0.259480325,178.526293,120,120,0.360987,0.018
1.73701083,1,1.0,6,0.499982168,50,0.0162465344,56,0.062558455,-1,-1,173.458792,60,120,0.568702,0.024
2.00131109,1,1.0,6,0.499982168,83,0.0117456935,51,0.0158408715,50,0.0516935186,185.02293,30,120,0.601355,0.022
2.27174228,1,1.0,6,0.499975397,83,0.0469822293,50,0.0236310487,5,0.345973767,197.092606,90,120,0.3625,0.018
1.9199246,1,1.0,6,0.499982168,51,0.0590432482,29,0.0248318826,56,0.0127670316,169.650713,60,120,0.539179,0.011
3.36130242,1,1.0,6,0.499982168,83,0.115778979,51,0.0316817429,-1,-1,385.145913,60,120,0.293509,0.012
2.06242184,1,1.0,6,0.499982168,83,0.0293642339,29,0.0689774516,-1,-1,185.072777,30,120,0.575641,0.025
2.11331615,1,1.0,6,0.499975397,51,0.0595225843,56,0.0663877946,-1,-1,219.199049,30,120,0.619763,0.025
2.09457883,1,1.0,6,0.499982168,83,0.0192964965,74,0.0219340867,51,0.0201611091,205.419576,120,120,0.288265,0.016
2.01591385,1,1.0,6,0.499982168,83,0.0260083214,51,0.0417622975,-1,-1,197.466373,60,120,0.462185,0.02
2.28307162,1,1.0,6,0.499975397,50,0.0905856868,29,0.0478238118,5,0.237856965,174.651994,60,120,0.527601,0.022
1.93016611,1,1.0,6,0.499982168,51,0.0216011884,29,0.0855320399,56,0.0178738443,158.533307,30,120,0.61213,0.024
2.92261848,1,1.0,6,0.499982168,51,0.164169031,29,0.0607001574,56,0.0306408759,270.330784,60,120,0.411913,0.02
2.11937998,1,0.522550786,6,0.261266075,83,0.0184131642,5,1.0,-1,-1,107.914512,60,120,0.574469,0.023
2.20028051,1,1.0,6,0.499975397,29,0.165543964,5,0.302727046,56,0.0187247626,149.703239,90,120,0.488588,0.023
2.16015803,1,1.0,6,0.499975397,51,0.042241834,29,0.0478238118,56,0.05957879,209.781092,30,120,0.597334,0.024
2.36305613,1,0.770762409,6,0.38536746,51,0.0310788501,29,0.110583672,5,1.0,127.500729,30,120,0.613028,0.023
