mass_den,atom_num_1,atom_per_mol_1,atom_num_2,atom_per_mol_2,atom_num_3,atom_per_mol_3,atom_num_4,atom_per_mol_4,atom_num_5,atom_per_mol_5,mean_excit,geo_number,spc,energy_ratio
2.23667092,1,1.0,6,0.499975397,50,0.0905856868,56,0.0408540275,-1,-1,220.183635,120,120,0.4474238927842372
2.36707597,1,1.0,6,0.499982168,74,0.0419608616,5,0.940627087,56,0.0740487835,177.837787,30,120,0.9218878773662658
2.94031713,1,1.0,6,0.499982168,83,0.0922875921,51,0.0316817429,5,0.454095835,276.266256,120,120,0.3352220137189517
2.02062209,1,1.0,6,0.499975397,51,0.0787234179,5,0.627077452,-1,-1,133.397964,90,120,0.8120443393475256
2.25907132,1,1.0,6,0.499975397,50,0.0807394165,29,0.0588600761,5,0.281103686,167.142616,90,120,0.7014701593782094
2.50694468,1,1.0,6,0.499975397,74,0.0279735833,51,0.0921640015,-1,-1,236.37677,60,120,0.633650420317235
2.47026315,1,1.0,6,0.499975397,83,0.0335587352,51,0.0556824176,50,0.0216617947,249.751737,120,120,0.37412513154724925
3.39985368,1,1.0,6,0.499982168,83,0.068796205,74,0.0324243021,51,0.0633634858,359.48856,30,120,0.7257493438486605
1.73747615,1,1.0,6,0.499982168,29,0.0689774516,5,0.356789585,56,0.0165971411,112.756727,120,120,0.8197961176127504
1.70182611,1,1.0,6,0.499982168,51,0.0201611091,5,0.194612501,56,0.0434079076,141.826844,60,120,0.9081800200332197
2.11331615,1,1.0,6,0.499975397,51,0.0595225843,56,0.0663877946,-1,-1,219.199049,90,120,0.6456338992506562
2.56522962,1,1.0,6,0.499975397,83,0.0503381028,29,0.0919688689,-1,-1,243.307887,60,120,0.6782623717810548
2.25965022,1,1.0,6,0.499975397,51,0.021120917,50,0.0768009084,56,0.0340450229,220.198382,60,120,0.7331144048992634
1.96747424,1,1.0,6,0.499982168,51,0.0590432482,50,0.0280621958,-1,-1,175.000621,90,120,0.7315865549201842
2.5544395,1,0.994532141,6,0.497248336,29,0.268913147,5,1.0,-1,-1,138.608887,90,120,0.8412874513433668
3.08787636,1,1.0,6,0.499982168,51,0.0892849119,50,0.144741852,-1,-1,282.491516,60,120,0.5940784718964358
2.90303715,1,1.0,6,0.499982168,50,0.177234921,29,0.0551819612,5,0.324354168,227.08374,120,120,0.4107792668855952
2.01026236,1,1.0,6,0.499975397,50,0.0236310487,56,0.0987305663,-1,-1,218.851188,90,120,0.668737083011069
2.13766078,1,1.0,6,0.499982168,74,0.0419608616,51,0.0230412676,-1,-1,199.959926,120,120,0.4720565114303466
1.75520668,1,1.0,6,0.499982168,83,0.015101606,50,0.0221543651,5,0.437878127,119.379674,90,120,0.8170637386045214
1.93437412,1,1.0,6,0.499975397,74,0.0216159507,5,0.735194255,56,0.0323427717,128.314801,30,120,0.9421857764140537
2.32579907,1,1.0,6,0.499975397,83,0.0626429724,5,0.302727046,-1,-1,216.228081,30,120,0.9004678644334276
2.1054074,1,1.0,6,0.499975397,51,0.0518422508,29,0.0698963403,5,0.51896065,137.181596,120,120,0.7153682055053316
2.70446709,1,1.0,6,0.499975397,83,0.0391518578,74,0.044503428,-1,-1,286.586102,120,120,0.34518473671531275
2.5343105,1,1.0,6,0.499982168,51,0.115206338,29,0.0717365496,5,0.875756253,165.710608,120,120,0.5833375597509795
3.18159536,1,1.0,6,0.499982168,83,0.0335591244,51,0.0288015845,50,0.147695767,308.536958,90,120,0.37383667854290026
1.79022736,1,1.0,6,0.499982168,74,0.0286096783,5,0.486531252,-1,-1,115.741012,90,120,0.8064353548288935
9.747,83,1.0,-1,-1,-1,-1,-1,-1,-1,-1,823.0,90,120,0.04055253014492387
19.3,74,1.0,-1,-1,-1,-1,-1,-1,-1,-1,727.0,30,120,0.10142197821704346
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,120,120,0.35907485830934843
8.96,29,1.0,-1,-1,-1,-1,-1,-1,-1,-1,322.0,60,120,0.5352514929820336
2.37,5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,76.0,30,120,0.9974118474939456
3.5,56,1.0,-1,-1,-1,-1,-1,-1,-1,-1,491.0,90,120,0.330045708706843
